ID,Local,KM,Estaca,Categoria,Disciplina,Responsável,Status,Termino_Prev,Status_Prazo,Classificacao_Escopo,Exibir_Dashboard,Pendência,Observações,Status_Executivo,Cor_Web,Tag_Web,Prioridade
PL-71,Gurita 1,KM 09,E519,SPDA / Aterramento,Elétrica,CCPS,Não iniciado,,Sem Planejamento,Fora_escopo,SIM,Instalação do Ponto de Teste PT-09 (Proteção Catódica),Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-72,Sardinha,KM 10,E498,Interligação,Mecânica,CCPS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Rejeitoduto Interligação com SARDINHA - Flangeado,Necessario 2 niples de ajuste 18 polegadas,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-73,Sardinha,KM 10,E498,Interligação,Mecânica,CCPS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Rejeitoduto Interligação com SARDINHA - Biselado,Soldar junta de isolamento,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-74,Gurita 2,KM 10,E501 - E550,Civil,Civil,CCPS,Concluído,05/30/2026,Concluído,Executar,SIM,Reaterros,"Principalmente Montante e Jusante da treliça, travessia Gurita 2",OK,#2e7d32,OK,3
PL-75,Gurita 2,KM 10,E529,SPDA / Aterramento,Elétrica,CCPS,Não iniciado,,Sem Planejamento,Fora_escopo,SIM,Instalação do Ponto de Teste PT-10 (Proteção Catódica),Relocar à jusante do ponto de projeto para evitar o talude com material de baixa competência. Sugestão E531,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-76,Gurita 2,KM 10,E529,Telecom,Telecom,CCPS/TECNEXUS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Limpeza e emenda de microduto,Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-77,Gurita 2,KM 10,E529,Civil,Civil,CCPS,Não iniciado,,Sem Planejamento,Fora_escopo,SIM,Conformação de ângulo de talude,Avaliar com a Geotecnica necessidade de adequação de inclinação,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-78,Gurita 2,KM 10,E529,Civil,Civil,-,Não iniciado,,Sem Planejamento,Aguardando_definicao,SIM,Plantio de grama em talude,Priorizar revegetação,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-79,Gurita 2,KM 10,E538,Telecom,Telecom,CCPS/TECNEXUS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Limpeza e emenda de microduto,Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-80,Gurita 2,KM 10,E550,Telecom,Telecom,CCPS/TECNEXUS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Limpeza e emenda de microduto,Neste local está montada a cabeça de teste (transição #600 x #300) tem uma sobra considerável que seria melhor um ponto de emenda (avaliar com a Engenharia),MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-81,Gurita 2,KM 10,E550,Fechamento,Mecânica,CCPS,Não iniciado,,Sem Planejamento,Fora_escopo,SIM,Montagem do tubo km10/84 após liberação dos testes TE e TH,Tubo de transição #600 x #300,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-82,Gurita 2,KM 10,E555,SPDA / Aterramento,Elétrica,CCPS,Não iniciado,,Sem Planejamento,Fora_escopo,SIM,Instalação do Ponto de Teste PT-11 (Proteção Catódica),Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-83,Gurita 2,KM 10,E558,Telecom,Telecom,CCPS/TECNEXUS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Limpeza e emenda de microduto,Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-84,Gurita 2,KM 10,E572,Telecom,Telecom,CCPS/TECNEXUS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Limpeza e emenda de microduto,Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-85,Gurita 2,KM 10,E581,SPDA / Aterramento,Elétrica,CCPS,Não iniciado,,Sem Planejamento,Fora_escopo,SIM,Instalação do Ponto de Teste PT-12 (Proteção Catódica),Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-86,Gurita 2,KM 10,E590,SPDA / Aterramento,Elétrica,CCPS,Não iniciado,,Sem Planejamento,Fora_escopo,SIM,Instalação do Ponto de Teste PT-13 (Proteção Catódica),Concluir instalação. Existem 2 cabos já instalados sobre os quais não tenho histórico,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-87,Usina,KM 12,E647,Interligação,Mecânica,CCPS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Mineroduto Interligação com USINA - Biselado,Interligar pós teste e soldar junta de isolamento,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-88,Usina,KM 12,E647,Interligação,Mecânica,CCPS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Mineroduto Interligação com USINA - Flangeado,Escavação de aproximadamente 24 metros p/ interligação do tubo. Atividade a ser realizada pós testes,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-89,Geral,KM 0 - KM12,Geral,Telecom,Telecom,CCPS/TECNEXUS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Reparo e emendas dos microdutos,Trecho geral mineroduto e rejeitoduto,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-90,Geral,KM 0 - KM12,Geral,Telecom,Telecom,CCPS,Não iniciado,,Sem Planejamento,Fora_escopo,SIM,Instalação de Caixa de passagem a cada 500m,Trecho geral mineroduto e rejeitoduto (aprox. 45 caixas),MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-91,Geral,KM 0 - KM12,Geral,Civil,Civil,CCPS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Postes de iluminação das PMS's,Poste de iluminação para as 4 PMS's,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-92,Geral,KM 0 - KM12,Geral,SPDA / Aterramento,Elétrica,CCPS,Não iniciado,,Sem Planejamento,Fora_escopo,SIM,Instalação do Ponto de Teste (Proteção Catódica),0,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-93,Geral,KM 0 - KM12,Geral,Civil,Civil,CCPS,Não iniciado,,Sem Planejamento,Fora_escopo,SIM,Drenagens pluviais e recuperação de faixas,"Ver planilha de pendências
Atenção para região da Escada Hidráulica, subida pós treliça, região do Gurita 2",MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-94,Geral,KM 0 - KM12,Geral,Civil,Civil,CCPS,Não iniciado,,Sem Planejamento,Fora_escopo,SIM,Drenagens pluviais e recuperação de faixas,"Ver planilha de pendências
Atenção para região da Escada Hidráulica, subida pós treliça, região do Gurita 2",MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-95,Geral,KM 0 - KM12,Geral,Civil,Civil,CCPS,Não iniciado,,Sem Planejamento,Fora_escopo,SIM,Instalação de Marcos quilométricos,Entender pontos,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-96,Geral,KM 0 - KM12,Geral,Civil,Civil,CCPS,Não iniciado,,Sem Planejamento,Fora_escopo,SIM,Instalação de Marcos quilométricos,Entender pontos,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-97,Geral,KM 0 - KM12,Geral,Telecom,Telecom,CCPS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Cameras CFTV PMS's,Material fornecido. Necesário definir quem executará,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-98,Geral,KM 0 - KM12,Geral,Telecom,Telecom,CCPS,Não iniciado,,Sem Planejamento,Fora_escopo,SIM,Cameras CFTV Travessias,Material fornecido. Necesário definir quem executará,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
